epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5381,1.82772,2.66404,1.42312,0.26863,0.43354,0.30456,0.13512,1.79154,2.03723,1.50167,0.000410354,0.000410354,0.000410354
2,114.762,1.39495,1.46929,1.05261,0.17384,0.73713,0.20983,0.08778,1.8155,3.74972,1.42659,0.000818833,0.000818833,0.000818833
3,152.157,1.28521,1.31207,1.00993,0.195,0.49493,0.25354,0.10982,2.0556,2.56898,2.07028,0.00121906,0.00121906,0.00121906
4,191.551,1.26648,1.30013,1.00579,0.21716,0.66446,0.25594,0.10557,2.27449,2.41258,2.32533,0.00121287,0.00121287,0.00121287
5,229.53,1.19229,1.23991,0.98528,0.31422,0.56345,0.42492,0.24045,1.32633,1.24981,1.17566,0.0012005,0.0012005,0.0012005
6,269.198,1.12732,1.13971,0.95933,0.30044,0.71949,0.42499,0.25162,1.22064,1.24357,1.08439,0.00118812,0.00118812,0.00118812
7,307.85,1.0513,1.08764,0.93773,0.41611,0.65674,0.51024,0.28844,1.25207,1.17715,1.08263,0.00117575,0.00117575,0.00117575
8,347.261,1.01056,1.00237,0.9295,0.41212,0.65649,0.54272,0.28369,1.55068,1.12061,1.3041,0.00116337,0.00116337,0.00116337
9,385.719,0.96808,0.93305,0.91443,0.50142,0.64323,0.57709,0.33637,1.19099,1.12624,1.08309,0.001151,0.001151,0.001151
10,428.113,0.93838,0.87484,0.90977,0.50859,0.601,0.62324,0.37644,1.22639,0.97346,1.16375,0.00113863,0.00113863,0.00113863
11,469.686,0.90012,0.76931,0.89975,0.49851,0.68098,0.58986,0.34403,1.3596,1.45593,1.17869,0.00112625,0.00112625,0.00112625
12,509.711,0.86344,0.72504,0.88563,0.61239,0.67687,0.70812,0.42553,1.1465,0.92253,1.04792,0.00111388,0.00111388,0.00111388
13,551.778,0.82134,0.69652,0.86971,0.5874,0.67041,0.64113,0.36145,1.34323,1.24291,1.17996,0.0011015,0.0011015,0.0011015
14,591.426,0.80727,0.62843,0.86516,0.46111,0.68608,0.60089,0.33666,1.31839,1.1581,1.17002,0.00108913,0.00108913,0.00108913
15,631.581,0.78812,0.5489,0.86088,0.72377,0.762,0.77973,0.45357,1.25154,1.10812,1.13239,0.00107675,0.00107675,0.00107675
16,673.589,0.7677,0.5175,0.8548,0.60272,0.76235,0.72466,0.42346,1.10533,0.97684,0.99721,0.00106437,0.00106437,0.00106437
17,713.231,0.75845,0.49776,0.85155,0.66811,0.73699,0.74104,0.41277,1.36274,1.25205,1.27947,0.001052,0.001052,0.001052
18,752.134,0.7277,0.46581,0.84578,0.6842,0.70927,0.72523,0.42233,1.18678,1.56544,1.08759,0.00103962,0.00103962,0.00103962
19,791.79,0.6973,0.41452,0.83647,0.8195,0.81463,0.85372,0.48702,1.19847,1.0473,1.12196,0.00102725,0.00102725,0.00102725
20,833.873,0.66663,0.39781,0.8331,0.79429,0.80823,0.81868,0.48335,1.16744,1.23539,1.10032,0.00101488,0.00101488,0.00101488
21,872.674,0.66164,0.40003,0.83062,0.73152,0.73905,0.76767,0.45407,1.18441,1.34295,1.0958,0.0010025,0.0010025,0.0010025
22,912.601,0.6345,0.38628,0.8221,0.75948,0.80327,0.80788,0.47237,1.16315,1.10036,1.09621,0.000990125,0.000990125,0.000990125
23,951.788,0.6035,0.35778,0.81636,0.83343,0.82404,0.85334,0.51747,1.08065,0.8192,1.02555,0.00097775,0.00097775,0.00097775
24,993.327,0.58432,0.33685,0.81394,0.78685,0.82508,0.84658,0.51538,1.0697,1.04258,1.03849,0.000965375,0.000965375,0.000965375
25,1032.53,0.5332,0.31554,0.8027,0.82624,0.80542,0.85162,0.5157,1.10159,1.24467,1.04446,0.000953,0.000953,0.000953
26,1071.87,0.51568,0.30222,0.79911,0.82431,0.86084,0.87172,0.53141,1.05713,0.8333,1.02258,0.000940625,0.000940625,0.000940625
27,1112.54,0.48832,0.2953,0.79491,0.78752,0.80186,0.79822,0.4793,1.0901,1.54193,1.0339,0.00092825,0.00092825,0.00092825
28,1151.19,0.47704,0.28699,0.79369,0.84701,0.8089,0.8656,0.52534,1.05581,0.96424,1.04796,0.000915875,0.000915875,0.000915875
29,1190.78,0.46036,0.27661,0.79023,0.82983,0.84043,0.86893,0.52665,1.07687,1.01189,1.0654,0.0009035,0.0009035,0.0009035
30,1230.24,0.44414,0.27018,0.78725,0.83147,0.81604,0.86126,0.52432,1.03732,0.97779,1.03468,0.000891125,0.000891125,0.000891125
31,1269.39,0.4049,0.25159,0.78291,0.83643,0.80421,0.8481,0.51065,1.07207,1.24594,1.04277,0.00087875,0.00087875,0.00087875
32,1309,0.41742,0.25531,0.78351,0.82391,0.82246,0.86751,0.52686,1.04812,0.95902,1.03994,0.000866375,0.000866375,0.000866375
33,1347.84,0.39909,0.24441,0.78137,0.83042,0.83015,0.87572,0.54136,1.01708,0.83069,1.03712,0.000854,0.000854,0.000854
34,1388.83,0.38163,0.2419,0.78036,0.83569,0.84259,0.86986,0.52808,1.06029,0.88605,1.03453,0.000841625,0.000841625,0.000841625
35,1429.9,0.38632,0.24384,0.77894,0.80572,0.79043,0.836,0.51636,1.01052,1.1106,1.01501,0.00082925,0.00082925,0.00082925
36,1469.56,0.37502,0.2422,0.77741,0.84104,0.78927,0.85639,0.52849,1.0444,0.99551,1.04326,0.000816875,0.000816875,0.000816875
37,1517.77,0.38596,0.24306,0.77928,0.83402,0.86813,0.87932,0.54618,1.00742,0.76523,1.01981,0.0008045,0.0008045,0.0008045
38,1559.18,0.35604,0.22674,0.77632,0.82809,0.81679,0.84667,0.52053,1.03107,0.97035,1.03269,0.000792125,0.000792125,0.000792125
39,1603.5,0.35494,0.22805,0.7772,0.8533,0.81266,0.84679,0.52007,1.05234,1.02722,1.04569,0.00077975,0.00077975,0.00077975
40,1647.82,0.36323,0.23361,0.77917,0.8692,0.84739,0.89146,0.56264,1.02065,0.65756,1.07155,0.000767375,0.000767375,0.000767375
41,1697.24,0.33789,0.22036,0.77513,0.85762,0.85905,0.90091,0.56722,1.00835,0.65391,1.02399,0.000755,0.000755,0.000755
42,1738.45,0.33124,0.21726,0.77337,0.88104,0.8361,0.89384,0.56361,0.98119,0.67173,1.00802,0.000742625,0.000742625,0.000742625
43,1777.77,0.33138,0.21253,0.77298,0.85285,0.88523,0.90014,0.57492,0.97248,0.60756,1.00855,0.00073025,0.00073025,0.00073025
44,1819.63,0.3112,0.20307,0.77203,0.84788,0.88821,0.89624,0.56741,0.96353,0.69172,0.99164,0.000717875,0.000717875,0.000717875
45,1864.13,0.31518,0.20712,0.77167,0.83794,0.86313,0.88979,0.56536,0.97465,0.67108,0.99751,0.0007055,0.0007055,0.0007055
46,1905.59,0.30708,0.20115,0.77066,0.86427,0.85069,0.89064,0.56507,0.96927,0.65954,1.00325,0.000693125,0.000693125,0.000693125
47,1944.76,0.28597,0.19197,0.76872,0.83032,0.87637,0.87763,0.54979,0.99336,0.7394,1.0157,0.00068075,0.00068075,0.00068075
48,1985.19,0.28719,0.19419,0.76948,0.86432,0.85577,0.89242,0.5663,0.98562,0.63709,1.0222,0.000668375,0.000668375,0.000668375
49,2025.16,0.27528,0.18773,0.76808,0.86003,0.84558,0.87845,0.55472,1.01143,0.73213,1.04286,0.000656,0.000656,0.000656
50,2065.17,0.27245,0.18649,0.76704,0.85689,0.85982,0.89,0.55651,1.00978,0.74828,1.05841,0.000643625,0.000643625,0.000643625
51,2105.22,0.27412,0.18578,0.7672,0.85648,0.88816,0.90254,0.56768,0.98253,0.64053,1.0131,0.00063125,0.00063125,0.00063125
52,2144.3,0.25516,0.17691,0.76542,0.86735,0.86989,0.89373,0.56622,0.98282,0.65554,1.03719,0.000618875,0.000618875,0.000618875
53,2183.9,0.25064,0.17364,0.76566,0.84671,0.86235,0.8614,0.54483,0.99167,0.80572,1.03672,0.0006065,0.0006065,0.0006065
54,2223.58,0.24924,0.17219,0.76575,0.84448,0.85989,0.87689,0.55131,1.01373,0.81957,1.04471,0.000594125,0.000594125,0.000594125
55,2263.2,0.24236,0.172,0.7649,0.86435,0.84931,0.8878,0.55905,0.9778,0.68907,1.0207,0.00058175,0.00058175,0.00058175
56,2303.1,0.23159,0.16787,0.76474,0.8296,0.86887,0.87321,0.55485,0.98959,0.68682,1.0408,0.000569375,0.000569375,0.000569375
57,2341.88,0.22095,0.16093,0.76349,0.82224,0.86285,0.88246,0.56005,0.98842,0.65973,1.05019,0.000557,0.000557,0.000557
58,2381.08,0.22261,0.15962,0.76324,0.8454,0.85639,0.8873,0.56427,0.99781,0.64685,1.06842,0.000544625,0.000544625,0.000544625
