epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.3235,2.60301,6.27969,0.00807,0,0,0,0,nan,nan,nan,0.00758904,0.00758904,0.0790803
2,130.219,2.21496,2.65935,0.00578,0.01755,0.05346,0.00405,0.00103,nan,nan,nan,0.0145377,0.0145377,0.0570816
3,174.211,2.08133,2.44341,0.00548,0.13513,0.37098,0.09687,0.02681,2.1692,9.99059,0.01158,0.0207236,0.0207236,0.03432
4,218.849,2.07482,2.14346,0.00521,0.14766,0.56098,0.17217,0.06649,1.67616,3.66402,0.00822,0.0226669,0.0226669,0.0226669
5,263.132,1.87624,1.86932,0.00492,0.20025,0.60807,0.25235,0.11789,1.66014,3.36003,0.00907,0.0213492,0.0213492,0.0213492
6,307.507,1.79313,1.6618,0.00451,0.25796,0.4199,0.25578,0.12207,1.69888,2.09789,0.01022,0.0200315,0.0200315,0.0200315
7,352.132,1.71027,1.5888,0.00448,0.18672,0.63933,0.26033,0.12631,1.67341,3.96485,0.00924,0.0187139,0.0187139,0.0187139
8,396.851,1.62597,1.51699,0.00413,0.23506,0.75104,0.32813,0.18109,1.48796,1.60133,0.0082,0.0173962,0.0173962,0.0173962
9,441.305,1.59547,1.41661,0.0041,0.27964,0.70655,0.36621,0.20744,1.51333,1.41307,0.0088,0.0160785,0.0160785,0.0160785
10,485.332,1.58704,1.37914,0.00417,0.25786,0.73624,0.359,0.21374,1.42235,1.4591,0.00824,0.0147608,0.0147608,0.0147608
11,532.508,1.50039,1.31068,0.0039,0.25093,0.87805,0.40365,0.24809,1.3544,1.14715,0.00754,0.0134431,0.0134431,0.0134431
12,576.46,1.4743,1.29705,0.00368,0.26074,0.84395,0.3968,0.23568,1.36999,1.11777,0.00699,0.0121254,0.0121254,0.0121254
13,620.607,1.39649,1.25763,0.00354,0.26588,0.83926,0.42105,0.25484,1.42905,1.21051,0.00837,0.0108077,0.0108077,0.0108077
14,665.154,1.3492,1.23868,0.0034,0.26248,0.84225,0.41779,0.22495,1.5419,1.43589,0.00842,0.00949003,0.00949003,0.00949003
15,709.328,1.28288,1.16694,0.00312,0.29579,0.76186,0.45574,0.27862,1.36832,0.99781,0.00821,0.00817234,0.00817234,0.00817234
16,753.518,1.20402,1.13972,0.00296,0.27558,0.84905,0.45075,0.28402,1.32577,1.17603,0.00765,0.00685465,0.00685465,0.00685465
17,797.848,1.17612,1.11154,0.00279,0.3081,0.73501,0.47029,0.29037,1.35942,1.07144,0.00789,0.00553696,0.00553696,0.00553696
18,842.484,1.14727,1.07889,0.00273,0.31343,0.77551,0.48216,0.3014,1.35281,1.04551,0.00821,0.00421927,0.00421927,0.00421927
19,886.644,1.07639,1.05534,0.00257,0.33031,0.73746,0.48835,0.30788,1.3394,1.02967,0.00794,0.00290158,0.00290158,0.00290158
20,930.662,1.04639,1.02384,0.00245,0.33866,0.71888,0.49819,0.31729,1.32354,0.95054,0.00781,0.00158389,0.00158389,0.00158389
