epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.0694,2.43957,5.83727,0.00642,0,0,0,0,nan,nan,nan,0.00748661,0.00748661,0.0687961
2,131.229,2.01918,2.05895,0.00458,0.1211,0.22347,0.06066,0.02002,2.77973,5.22316,0.01992,0.0143415,0.0143415,0.0363653
3,175.831,1.89679,1.96928,0.00429,0.00614,0.0951,0.00076,0.00017,nan,nan,nan,0.0174344,0.0174344,0.0174344
4,219.973,1.81014,1.73673,0.00406,0.18425,0.40918,0.15013,0.05243,2.26221,2.34393,0.01372,0.0164765,0.0164765,0.0164765
5,264.383,1.70066,1.68582,0.0039,0.22834,0.72995,0.26621,0.13658,1.43551,1.6005,0.00608,0.0155187,0.0155187,0.0155187
6,308.641,1.64067,1.55308,0.00366,0.22641,0.7734,0.28975,0.15619,1.6095,2.07469,0.00838,0.0145609,0.0145609,0.0145609
7,352.703,1.52797,1.43585,0.00352,0.21526,0.77951,0.28025,0.11211,2.15987,1.45868,0.01366,0.013603,0.013603,0.013603
8,396.762,1.48159,1.38076,0.00338,0.23797,0.86535,0.37743,0.21859,1.46428,1.35707,0.0074,0.0126452,0.0126452,0.0126452
9,440.84,1.42138,1.30721,0.00322,0.24658,0.81998,0.34671,0.20259,1.31791,1.6514,0.0063,0.0116874,0.0116874,0.0116874
10,485.261,1.38101,1.27964,0.00332,0.24307,0.83686,0.31674,0.18174,1.37867,1.79373,0.00689,0.0107296,0.0107296,0.0107296
11,531.885,1.32758,1.23554,0.0033,0.24816,0.89186,0.38686,0.21978,1.39481,1.28647,0.00675,0.00977175,0.00977175,0.00977175
12,576.117,1.30781,1.20352,0.00292,0.26494,0.88182,0.41464,0.25015,1.28916,1.08583,0.00608,0.00881392,0.00881392,0.00881392
13,620.35,1.22086,1.16099,0.00278,0.26282,0.85718,0.39599,0.24453,1.33533,1.38313,0.00679,0.0078561,0.0078561,0.0078561
14,664.598,1.18719,1.14924,0.00267,0.24963,0.90016,0.43194,0.25536,1.31775,1.12166,0.00598,0.00689827,0.00689827,0.00689827
15,708.722,1.12932,1.10299,0.00242,0.3061,0.8055,0.4575,0.28521,1.17448,1.01856,0.00504,0.00594045,0.00594045,0.00594045
16,752.596,1.06314,1.07416,0.00231,0.30612,0.78493,0.4742,0.30538,1.18542,0.91611,0.00535,0.00498263,0.00498263,0.00498263
17,796.596,1.01295,1.028,0.00215,0.36332,0.69882,0.50312,0.31659,1.14708,0.93648,0.00478,0.0040248,0.0040248,0.0040248
18,841.564,0.99191,1.00612,0.00213,0.36128,0.69741,0.5059,0.31769,1.24136,1.00991,0.006,0.00306698,0.00306698,0.00306698
